Teff_K,B_V,BC
44900,-0.33,-4.01
42900,-0.326,-3.89
41400,-0.323,-3.76
40500,-0.322,-3.67
39500,-0.321,-3.57
38300,-0.319,-3.49
37100,-0.318,-3.41
36100,-0.317,-3.33
35100,-0.315,-3.24
34300,-0.314,-3.18
33300,-0.312,-3.11
31900,-0.307,-3.01
31400,-0.301,-2.99
29000,-0.289,-2.83
26000,-0.278,-2.58
24500,-0.252,-2.44
20600,-0.215,-2.03
18500,-0.198,-1.77
17000,-0.178,-1.54
16400,-0.165,-1.49
15700,-0.156,-1.34
14500,-0.14,-1.13
14000,-0.128,-1.05
12300,-0.109,-0.73
10700,-0.07,-0.42
10400,-0.05,-0.36
9700,0,-0.21
9300,0.035,-0.14
8800,0.07,-0.07
8600,0.1,-0.04
8250,0.14,-0.02
8100,0.16,0
7910,0.185,0.005
7760,0.21,0.01
7590,0.25,0.02
7400,0.27,0.02
7220,0.295,0.01
7020,0.33,0.005
6820,0.37,-0.005
6750,0.39,-0.01
6670,0.41,-0.015
6550,0.44,-0.02
6350,0.486,-0.03
6280,0.5,-0.035
6180,0.53,-0.04
6050,0.56,-0.05
5990,0.58,-0.06
5930,0.595,-0.065
5860,0.622,-0.073
5770,0.65,-0.085
5720,0.66,-0.095
5680,0.67,-0.1
5660,0.68,-0.105
5600,0.7,-0.115
5550,0.71,-0.125
5480,0.73,-0.14
5380,0.775,-0.16
5270,0.816,-0.195
5170,0.857,-0.23
5100,0.884,-0.26
4830,0.99,-0.375
4600,1.09,-0.52
4440,1.15,-0.63
4300,1.24,-0.75
4100,1.34,-0.93
3990,1.363,-1.03
3930,1.4,-1.07
3850,1.42,-1.15
3770,1.445,-1.29
3660,1.485,-1.42
3620,1.495,-1.5
3560,1.505,-1.62
3470,1.522,-1.78
3430,1.53,-1.93
3270,1.6,-2.28
3210,1.65,-2.51
3110,1.69,-2.84
3060,1.83,-3.11
2930,1.94,-3.58
2810,2.01,-4.13
2740,2.07,-4.62
2680,2.12,-4.99
2630,2.14,-5.32
2570,2.15,-5.65
2420,2.16,-5.78
2380,2.17,-5.86
2350,NaN,-6.13
2270,NaN,-6.25
2160,NaN,-6.48
2060,NaN,-6.62
1920,NaN,-7.05
1870,NaN,-7.53
1710,NaN,-7.87
1550,NaN,NaN
1530,NaN,NaN
1420,NaN,NaN
1370,NaN,NaN
1255,NaN,NaN
1240,NaN,NaN
1220,NaN,NaN
1200,NaN,NaN
1180,NaN,NaN
1170,NaN,NaN
1160,NaN,NaN
1040,NaN,NaN
950,NaN,NaN
825,NaN,NaN
750,NaN,NaN
680,NaN,NaN
600,NaN,NaN
560,NaN,NaN
510,NaN,NaN
450,NaN,NaN
400,NaN,NaN
360,NaN,NaN
325,NaN,NaN
320,NaN,NaN
250,NaN,NaN
